Error,Ntotal,Nworkers,Time
1.930663726361722E-5,12000000,1,1243
1.2105969754712268E-4,24000000,2,2277
1.3474702265295986E-4,36000000,3,4220
2.612377399275413E-5,48000000,4,6309
2.038889087670857E-5,60000000,5,8333
3.374501043360471E-5,72000000,6,10446
5.3768218035919754E-5,84000000,7,13539
1.914021815299821E-6,96000000,8,16474
2.0997425908778368E-4,12000000,1,988
1.0960886664074373E-4,24000000,2,2840
3.9996779865628484E-5,36000000,3,4596
4.3400410314590414E-5,48000000,4,5584
3.475527707313781E-5,60000000,5,8942
6.91658272127907E-5,72000000,6,10947
4.540804793080251E-5,84000000,7,12692
1.5293973694759847E-6,96000000,8,14682
4.964531566532344E-4,12000000,1,1098
3.289618407047064E-5,24000000,2,2766
1.0174889778529262E-4,36000000,3,4566
9.838844315282236E-5,48000000,4,5851
4.615909599481146E-5,60000000,5,8224
3.582338358013687E-5,72000000,6,10043
1.721488658309238E-5,84000000,7,15177
7.202177424725486E-5,96000000,8,22194
