Error,Ntotal,Nworkers,Time
1.0058176153593028E-4,12000000,1,1296
1.930663726361722E-5,12000000,2,956
4.992201673297398E-4,12000000,3,2307
2.027592350009321E-4,12000000,4,1529
1.4397800935230784E-4,12000000,5,1835
6.73797550737285E-5,12000000,6,2495
2.587900999656196E-4,12000000,7,1615
1.1755828879903563E-4,12000000,8,4047
2.4170746940696344E-4,12000000,1,1020
8.91683931133255E-6,12000000,2,1867
7.310100802870515E-5,12000000,3,1585
8.498457711300612E-5,12000000,4,2088
1.246672095904778E-4,12000000,5,3107
3.798081725313207E-5,12000000,6,2915
9.995346675989938E-5,12000000,7,1584
9.368504733530697E-5,12000000,8,5131
2.2132731169503751E-4,12000000,1,1176
2.0685980103798423E-5,12000000,2,1381
1.0059008653221459E-4,12000000,3,2023
4.499195974544911E-5,12000000,4,1453
7.501919234207644E-5,12000000,5,1933
1.5512718036502713E-4,12000000,6,2820
2.326886892984343E-4,12000000,7,1725
7.576191540994244E-5,12000000,8,4988
