Error,Ntotal,Nworkers,Time
6.323340155704194E-5,12000000,1,467
2.251553553254958E-4,12000000,1,424
9.53827000615751E-5,12000000,1,436
5.226003548000541E-5,24000000,2,511
4.180886088359036E-5,24000000,2,422
1.0748680073283789E-4,24000000,2,436
1.3683162607765695E-5,36000000,3,546
4.6150770998527145E-5,36000000,3,522
1.7369735177725195E-5,36000000,3,461
8.954701881490473E-5,48000000,4,556
6.751238419291961E-5,48000000,4,542
9.326063415366926E-5,48000000,4,544
8.69368777482286E-5,60000000,5,535
5.0713212700425754E-5,60000000,5,563
5.4413932376477534E-5,60000000,5,542
2.467317867737085E-5,72000000,6,581
4.3781130734713094E-5,72000000,6,558
1.0965359329216412E-4,72000000,6,554
1.1182156359152287E-5,84000000,7,597
1.85873968058674E-5,84000000,7,562
1.615002107060095E-4,84000000,7,559
6.21674306874825E-5,96000000,8,734
4.328598202289667E-5,96000000,8,611
8.052330079076906E-5,96000000,8,593
