Error,Ntotal,Nworkers,Time
1.834109727564587E-5,120000000,1,4257
8.199246418282778E-5,120000000,1,4151
2.0155463626892644E-5,120000000,1,4283
1.3351957058824657E-5,120000000,2,2223
2.9437216640660455E-5,120000000,2,2210
5.753565459434727E-5,120000000,2,2292
2.5543225699643344E-5,120000000,3,1591
3.1985981063347544E-5,120000000,3,1725
1.3433493534020816E-6,120000000,3,1780
5.076397901484557E-5,120000000,4,1275
8.243581269017767E-5,120000000,4,1311
4.657289884687996E-5,120000000,4,1309
5.428660842207104E-5,120000000,5,1033
5.307703085457319E-5,120000000,5,1075
9.279875848839874E-6,120000000,5,1108
4.450616991996373E-5,120000000,6,938
1.1697472067442515E-4,120000000,6,890
6.020945763829732E-5,120000000,6,920
1.655022871749382E-5,119999999,7,804
9.64922231378598E-5,119999999,7,831
5.1324049911934644E-5,119999999,7,804
2.3049798257804505E-5,120000000,8,765
4.8175058607307875E-5,120000000,8,738
8.22716789117127E-6,120000000,8,728
