Error,Ntotal,Nworkers,Time
1.0812342050529445E-4,12000000,1,473
1.1979478299863522E-4,24000000,2,439
2.1994587413800913E-5,36000000,3,424
3.2933646553396665E-6,48000000,4,454
3.9720911297535696E-5,60000000,5,502
9.349884962324644E-5,72000000,6,501
6.496136951069106E-5,84000000,7,519
1.0753152738425829E-4,96000000,8,533
1.85358294556189E-4,12000000,1,423
1.7819632211704215E-4,24000000,2,424
4.424091168144016E-5,36000000,3,439
8.872471827555233E-5,48000000,4,479
5.6578439602518876E-5,60000000,5,510
4.857346291004591E-5,72000000,6,501
4.916030349309101E-5,84000000,7,518
1.035261279831885E-4,96000000,8,517
5.203223972426651E-6,12000000,1,424
1.2621403237005746E-4,24000000,2,439
7.675221283357528E-5,36000000,3,423
1.256907800610806E-5,48000000,4,475
8.691565708909017E-5,60000000,5,501
1.0871425279839932E-5,72000000,6,515
1.075091056024975E-5,84000000,7,517
7.147799485831688E-5,96000000,8,502
