Error,Ntotal,Nworkers,Time
1.2157233952638894E-5,1200000000,1,40442
7.155687875133277E-6,1200000000,2,20962
3.876932780091519E-6,1200000000,3,14962
1.2936032140814046E-5,1200000000,4,11974
7.060194909293064E-6,1200000000,5,9851
1.4429231836423814E-6,1200000000,6,8312
8.483254788516575E-6,1200000000,7,7292
2.4726230325075564E-5,1200000000,8,6493
1.8525553742157172E-5,1200000000,1,41863
1.4880007779752215E-5,1200000000,2,22039
1.2781121329584133E-5,1200000000,3,15454
4.263148775336602E-6,1200000000,4,12103
9.823124721256984E-6,1200000000,5,9780
2.522156965234022E-6,1200000000,6,8358
2.2115874646867683E-5,1200000000,7,7263
2.5898998069080366E-6,1200000000,8,6479
1.416911570073522E-5,1200000000,1,41823
1.3230101536404192E-5,1200000000,2,21766
3.774175850867369E-6,1200000000,3,15232
1.0357722062704209E-5,1200000000,4,11968
1.165430433241517E-5,1200000000,5,9741
9.187565981983511E-6,1200000000,6,8307
5.249150130606285E-7,1200000000,7,7292
2.7078377321298415E-6,1200000000,8,6496
