Error,Ntotal,Nworkers,Time
0.001127661660955713,1200000,1,69
1.4982201559526255E-4,1200000,1,50
3.7157790297000925E-4,1200000,1,51
1.2816861833856485E-4,2400000,2,70
3.641506722923388E-4,2400000,2,50
5.154456465288362E-4,2400000,2,52
1.2241409233690094E-5,3600000,3,77
1.0702701978611082E-4,3600000,3,51
3.103126087658772E-4,3600000,3,52
1.7432355183516347E-4,4800000,4,80
6.20222650730945E-4,4800000,4,52
2.668008987679005E-4,4800000,4,64
7.006979994245565E-6,6000000,5,86
1.9204280216613483E-4,6000000,5,70
4.2445480655905564E-5,6000000,5,72
3.313564290192061E-4,7200000,6,87
1.7864674417743817E-4,7200000,6,71
2.6663341882850205E-4,7200000,6,70
2.5688424152537504E-6,9600000,8,102
3.8413555430912736E-5,9600000,8,75
8.400312163053959E-5,9600000,8,70
9.400335722153526E-5,12000000,10,134
6.06952474637827E-5,12000000,10,85
7.406426268353295E-5,12000000,10,72
2.67694451782455E-4,14400000,12,155
2.6653773524777905E-5,14400000,12,107
1.5478286160004054E-4,14400000,12,77
