Error,Ntotal,Nworkers,Time
1.8723069139006725E-5,120000000,1,4635
3.975576211774305E-5,240000000,2,4626
1.8841034207223542E-5,360000000,3,4817
5.688646548875308E-6,480000000,4,5293
9.972893430075995E-7,600000000,5,5104
9.237243915256142E-7,720000000,6,5494
2.4748410026196722E-5,960000000,8,5220
2.5699360811257776E-5,1200000000,10,5478
2.9021836014930507E-6,1440000000,12,6253
4.003693585047908E-5,120000000,1,4604
2.0723116257149315E-5,240000000,2,4702
2.453878116991821E-5,360000000,3,4845
3.2777754908436924E-7,480000000,4,4895
3.4407258264285356E-5,600000000,5,4992
1.8243318976379403E-5,720000000,6,5179
3.5595819359873228E-6,960000000,8,5336
4.3388084449379703E-7,1200000000,10,5463
1.2969101001262356E-5,1440000000,12,5859
2.283987700027055E-5,120000000,1,4675
1.7333115969397667E-5,240000000,2,4690
1.1502222942347171E-5,360000000,3,4798
3.549269497607784E-5,480000000,4,4897
4.21858539111763E-6,600000000,5,5008
1.1014664728600253E-5,720000000,6,5124
2.8300217839525495E-5,960000000,8,5310
6.759922583219358E-6,1200000000,10,5477
2.109182520876069E-5,1440000000,12,5803
