Error,Ntotal,Nworkers,Time
1.746541875901364E-6,120000000,1,4628
1.5060220114662E-5,120000000,2,2299
4.0272648433721265E-5,120000000,3,1599
7.08493328331079E-5,120000000,4,1225
2.8123821110896722E-5,120000000,5,997
3.8882695263970844E-5,120000000,6,855
2.3232459193341975E-5,120000000,8,666
2.3092239575940004E-5,120000000,10,548
4.919030408190909E-6,120000000,12,519
5.353327502463583E-5,120000000,1,4655
4.6052992699402036E-5,120000000,2,2350
1.8932990396399323E-5,120000000,3,1624
2.6553492339176448E-5,120000000,4,1233
4.831862438635012E-6,120000000,5,1014
3.1177310685064084E-5,120000000,6,849
1.7850736783449335E-5,120000000,8,679
7.431393175741919E-6,120000000,10,549
2.4007013249632896E-5,120000000,12,483
8.404025778389048E-5,120000000,1,4627
4.79545270202047E-5,120000000,2,2320
1.528303703505007E-5,120000000,3,1606
3.494397767153334E-5,120000000,4,1239
4.038373056349202E-6,120000000,5,1010
5.9035057220157875E-6,120000000,6,864
8.193941253512308E-5,120000000,8,679
3.244222523355154E-5,120000000,10,548
6.920473175440313E-5,120000000,12,481
