Error,Ntotal,Nworkers,Time
3.775113625158047E-4,1200000,1,107
7.738071708146052E-4,2400000,2,199
2.9217936496795458E-5,3600000,3,294
1.7803716717406935E-4,4800000,4,379
6.960792427704378E-5,6000000,5,448
2.978361126707761E-4,7200000,6,510
4.487753145375537E-5,9600000,8,855
1.9490759114176528E-4,12000000,10,945
7.27296464949135E-5,14400000,12,1193
4.15966542927715E-5,1200000,1,96
5.647836788872936E-4,2400000,2,197
2.5230947395020833E-4,3600000,3,303
1.1570148112965337E-4,4800000,4,396
4.010288316103791E-5,6000000,5,507
5.768898742765344E-5,7200000,6,629
1.7024689995875025E-4,9600000,8,739
8.202200983810916E-5,12000000,10,902
8.898945956905254E-5,14400000,12,1213
9.1863816902826E-4,1200000,1,94
4.173000982888272E-4,2400000,2,187
1.5937131218083883E-4,3600000,3,266
3.00055956877807E-4,4800000,4,371
1.3730182673878772E-4,6000000,5,473
2.2727742123340163E-4,7200000,6,532
3.930710844560856E-5,9600000,8,793
2.887029042705532E-4,12000000,10,924
1.427484625690511E-4,14400000,12,1147
