Error,Ntotal,Nworkers,Time
3.979289827109394E-5,12000000,1,1002
3.267565248336747E-5,24000000,2,1688
3.434835715838451E-6,36000000,3,2684
1.154362228911298E-4,48000000,4,3990
1.289325620654279E-4,60000000,5,4944
3.1605260643224864E-5,72000000,6,6073
1.672869443468547E-5,96000000,8,8532
1.8436590241486086E-5,120000000,10,9726
7.326900491312696E-5,144000000,12,12040
2.6546628257913973E-4,12000000,1,905
3.8086920548541495E-5,24000000,2,1834
1.081837363213522E-5,36000000,3,3178
2.7131755299002336E-5,48000000,4,4065
1.8839782763985368E-5,60000000,5,5186
1.039770669886079E-4,72000000,6,6006
7.261028028761324E-5,96000000,8,7713
2.7720628588538797E-5,120000000,10,9843
4.578773446087846E-5,144000000,12,11910
9.129045902010048E-6,12000000,1,949
1.2180242061484731E-4,24000000,2,1783
8.211978813723429E-5,36000000,3,3174
9.341252492828904E-6,48000000,4,4484
2.4747450984213992E-5,60000000,5,5044
7.709756548860861E-5,72000000,6,5752
3.2452509233828344E-6,96000000,8,7919
5.844585760147036E-5,120000000,10,9963
1.3152646130859915E-5,144000000,12,12075
