Error,Ntotal,Nworkers,Time
6.387834632564146E-5,1200000,1,109
5.731741642197918E-4,1200000,2,110
1.6892060876627375E-4,1200000,3,109
5.865348544432578E-4,1200000,4,102
9.765665674466615E-6,1200000,5,109
3.906764961410204E-4,1200000,6,110
8.411827633902622E-4,1200000,8,109
4.957187585816527E-4,1200000,10,109
4.910418885880603E-4,1200000,12,95
2.5274221212813036E-4,1200000,1,109
2.0817882806239044E-4,1200000,2,110
2.8457320074643525E-4,1200000,3,93
2.9925291799430737E-5,1200000,4,94
1.2922965129251777E-4,1200000,5,101
7.979384063493526E-5,1200000,6,78
8.263283020349214E-4,1200000,8,78
1.3072342242425136E-4,1200000,10,94
4.84047396088312E-4,1200000,12,94
7.265912043640537E-4,1200000,1,93
2.0499572920053166E-4,1200000,2,82
1.9438539966100247E-4,1200000,3,93
3.52046571621076E-4,1200000,4,94
3.0261076096349353E-4,1200000,5,94
9.069668065349192E-4,1200000,6,78
4.942249874499192E-4,1200000,8,94
9.180098742522291E-4,1200000,10,98
8.225169083970318E-4,1200000,12,110
