Error,Ntotal,Nworkers,Time
1.2286345356880024E-4,1200000,1,71
9.774277196731686E-4,1200000,1,49
4.8192533018040615E-4,1200000,1,48
9.103246495049535E-5,2400000,2,69
4.480700539533205E-4,2400000,2,49
9.19957196051818E-5,2400000,2,49
1.571701857463286E-4,3600000,3,85
3.381574596392477E-5,3600000,3,58
3.421435973843235E-4,3600000,3,55
2.453149814504599E-4,4800000,4,82
8.997143199654243E-5,4800000,4,60
5.029785093199247E-4,4800000,4,58
1.421825783269146E-4,6000000,5,82
1.7821191128167947E-5,6000000,5,69
1.7829516124452264E-5,6000000,5,57
2.2869213183867218E-4,7200000,6,94
6.822025644057825E-5,7200000,6,71
1.8546439785159844E-4,7200000,6,66
9.169561054659224E-5,9600000,8,110
8.669781900306343E-6,9600000,8,71
2.882519652651338E-4,9600000,8,69
1.1692166902672043E-4,12000000,10,119
8.908514315048234E-6,12000000,10,81
1.8844361511892267E-4,12000000,10,71
1.1860996286665752E-4,14400000,12,141
4.0256680095087524E-7,14400000,12,120
1.008376608881228E-4,14400000,12,100
