Error,Ntotal,Nworkers,Time
4.467364985922083E-5,12000000,1,511
2.581451551968787E-4,12000000,1,457
1.9746239522745181E-4,12000000,1,464
1.691244903608083E-4,12000000,1,469
2.3444665784019473E-5,12000000,1,473
3.0986324753383654E-5,12000000,1,464
2.8864258845477818E-5,12000000,1,464
7.320711132411456E-5,12000000,1,462
2.004332874984917E-4,12000000,1,465
1.4567566207871735E-4,12000000,1,481
7.947553074870698E-5,12000000,2,266
8.955534381118904E-5,12000000,2,232
8.361355926910923E-5,12000000,2,234
1.6106063991082263E-4,12000000,2,245
3.926238179418816E-5,12000000,2,247
1.3895369198584551E-5,12000000,2,255
1.0832730209968764E-4,12000000,2,251
5.7193838715837015E-5,12000000,2,261
5.824654667350562E-5,12000000,2,244
2.893478490391527E-4,12000000,2,244
4.466907111131393E-4,12000000,4,153
1.697236476503388E-5,12000000,4,132
1.3921168605587471E-4,12000000,4,144
1.0960054164445942E-4,12000000,4,162
2.2101732680509354E-4,12000000,4,137
5.7193838715837015E-5,12000000,4,136
1.5070830444231213E-5,12000000,4,145
1.578858660452482E-4,12000000,4,160
4.201274247812489E-5,12000000,4,138
1.201047678885792E-4,12000000,4,157
1.9862953147681416E-4,12000000,6,127
2.7803225891524895E-5,12000000,6,107
2.3134680894216863E-5,12000000,6,93
6.409055291646032E-5,12000000,6,103
4.0005104861912794E-5,12000000,6,117
8.810736015923122E-6,12000000,6,120
1.1087378118923119E-4,12000000,6,122
3.579966811594401E-4,12000000,6,126
2.72643844183348E-5,12000000,6,118
1.71458762859533E-4,12000000,6,117
7.617800359515448E-5,12000000,8,121
9.463997699385047E-5,12000000,8,88
7.310100802870515E-5,12000000,8,87
1.880192019374263E-4,12000000,8,85
1.8005312978656578E-4,12000000,8,92
2.775703832504025E-4,12000000,8,99
1.8652543080555136E-4,12000000,8,111
3.2880994992966255E-4,12000000,8,117
8.043046040725047E-5,12000000,8,118
1.8356286353079577E-4,12000000,8,108
