Error,Ntotal,Nworkers,Time
4.3209424382768625E-5,120000000,1,4640
3.972425745931733E-6,120000000,1,4570
4.112147479685533E-5,120000000,1,4655
3.4299032902933814E-5,120000000,1,4611
2.4569360715246323E-5,120000000,1,4580
2.945509113829997E-6,120000000,1,4577
1.4896086336621097E-6,120000000,1,4580
8.108830083870411E-5,120000000,1,4582
2.1182380258853022E-5,120000000,1,4587
9.905885291727226E-6,120000000,1,4584
3.276886011592278E-5,120000000,2,2434
2.7580408971136826E-5,120000000,2,2327
2.1237717239842636E-5,120000000,2,2388
2.6678530960298048E-5,120000000,2,2371
1.606322258640752E-6,120000000,2,2362
1.3417904369242126E-5,120000000,2,2422
2.845274132669422E-5,120000000,2,2504
7.703915582194431E-7,120000000,2,2381
2.5394681086098416E-5,120000000,2,2379
1.5113271762366714E-5,120000000,2,2369
1.1477609712653262E-4,120000000,4,1371
6.447481011310607E-5,120000000,4,1260
2.526735713155056E-5,120000000,4,1371
4.897809749052481E-6,120000000,4,1308
1.1267525187762385E-4,120000000,4,1418
5.4808799902692505E-5,120000000,4,1344
4.425152201100938E-5,120000000,4,1403
7.232645397241422E-5,120000000,4,1402
6.518570219226442E-5,120000000,4,1259
2.581909426759477E-5,120000000,4,1366
1.398025183485555E-5,120000000,6,945
3.212391534732326E-5,120000000,6,965
4.768926878168113E-5,120000000,6,1054
3.2599094843380786E-5,120000000,6,1006
6.795271286876978E-5,120000000,6,975
7.400060070625902E-5,120000000,6,959
2.8980972470456457E-5,120000000,6,990
1.7760875311827501E-6,120000000,6,1000
1.1026579348090647E-7,120000000,6,986
3.755411873820946E-5,120000000,6,978
2.887715450833193E-5,120000000,8,789
4.490936244246301E-5,120000000,8,802
2.8229924406306148E-5,120000000,8,794
6.3084856943497E-5,120000000,8,813
2.379480665881404E-5,120000000,8,816
5.877306228233316E-7,120000000,8,832
9.388435826327172E-5,120000000,8,802
9.0321572871337E-5,120000000,8,799
2.6808140248130802E-5,120000000,8,812
3.229139528672172E-5,120000000,8,830
