Error,Ntotal,Nworkers,Time
1.499884347067297E-5,120000000,1,4532
3.069454069107841E-5,240000000,2,4475
3.1961223627686045E-5,360000000,3,4638
1.7932599588361983E-5,480000000,4,4764
1.680031415906563E-5,600000000,5,4908
1.4417043734182653E-5,720000000,6,5001
4.2151370341560616E-6,960000000,8,5253
3.158793043814873E-5,1200000000,10,5404
2.3116997011601506E-5,1440000000,12,6214
2.4240440499590182E-5,120000000,1,4426
4.158832929648718E-5,240000000,2,4518
4.025267921782101E-5,360000000,3,4636
3.372644235692926E-5,480000000,4,4748
5.521697125997719E-6,600000000,5,4904
1.3079625267254944E-5,720000000,6,5449
2.8443457288285816E-5,960000000,8,5270
2.84113610414591E-5,1200000000,10,5410
1.871547864093722E-5,1440000000,12,5513
3.4108046971253384E-5,120000000,1,4513
6.288326068224737E-5,240000000,2,4996
1.5002189630899662E-6,360000000,3,4640
1.8463483314445847E-5,480000000,4,4745
2.1405360446583875E-5,600000000,5,4901
1.5829469006309674E-5,720000000,6,5017
1.196561551351995E-5,960000000,8,5293
1.0612369971658564E-5,1200000000,10,5729
1.3596878832269886E-5,1440000000,12,5518
