Error,Ntotal,Nworkers,Time
6.60004122335473E-5,12000000,1,494
5.347189838078816E-5,12000000,2,254
1.3454314105842532E-4,12000000,3,157
2.990032489201384E-4,12000000,4,125
1.138446734602711E-4,12000000,5,109
2.926370511964209E-4,12000000,6,84
2.835121677924823E-4,12000000,8,62
2.0169820204697916E-4,12000000,10,63
2.2171426239389055E-5,12000000,12,47
1.6053012343391685E-4,12000000,1,473
3.461047870789962E-4,12000000,2,250
1.1141262266242128E-4,12000000,3,171
6.73797550737285E-5,12000000,4,125
2.2196393146735273E-4,12000000,5,110
3.564654475440737E-5,12000000,6,78
3.586707634151055E-5,12000000,8,78
2.709919789360075E-4,12000000,10,47
2.3788775077293082E-4,12000000,12,62
5.983809610436432E-5,12000000,1,453
4.3258729782194875E-4,12000000,2,235
1.221207305010756E-4,12000000,3,156
1.0100617471756798E-4,12000000,4,125
2.574024321291541E-4,12000000,5,109
4.966050474275715E-5,12000000,6,78
2.070116918130281E-4,12000000,8,79
2.1967544644854514E-5,12000000,10,46
7.129725200702758E-5,12000000,12,47
